ZONE,DIV,YEAR,MONTH,DAY,DATE,DEATHS
1,1,2015,1,19,19-01-2015,1
1,1,2015,1,22,22-01-2015,1
1,1,2015,1,28,28-01-2015,1
1,1,2015,2,17,17-02-2015,1
1,1,2015,3,4,04-03-2015,1
1,1,2015,3,6,06-03-2015,1
1,1,2015,3,7,07-03-2015,1
1,1,2015,3,17,17-03-2015,1
1,1,2015,3,30,30-03-2015,1
1,1,2015,4,2,02-04-2015,1
1,1,2015,4,10,10-04-2015,1
1,1,2015,4,19,19-04-2015,1
1,1,2015,4,28,28-04-2015,1
1,1,2015,5,9,09-05-2015,1
1,1,2015,5,9,09-05-2015,1
1,1,2015,5,11,11-05-2015,1
1,1,2015,5,17,17-05-2015,1
1,1,2015,5,22,22-05-2015,1
1,1,2015,6,3,03-06-2015,1
1,1,2015,6,6,06-06-2015,1
1,1,2015,6,12,12-06-2015,1
1,1,2015,6,15,15-06-2015,1
1,1,2015,6,17,17-06-2015,1
1,1,2015,6,23,23-06-2015,1
1,1,2015,7,1,01-07-2015,1
1,1,2015,7,6,06-07-2015,1
1,1,2015,7,14,14-07-2015,1
1,1,2015,8,1,01-08-2015,1
1,1,2015,8,2,02-08-2015,1
1,1,2015,8,20,20-08-2015,1
1,1,2015,8,20,20-08-2015,1
1,1,2015,9,3,03-09-2015,1
1,1,2015,9,10,10-09-2015,1
1,1,2015,9,17,17-09-2015,1
1,1,2015,9,17,17-09-2015,1
1,1,2015,9,26,26-09-2015,1
1,1,2015,10,15,15-10-2015,1
1,1,2015,10,18,18-10-2015,1
1,1,2015,10,28,28-10-2015,1
1,1,2015,11,20,20-11-2015,1
1,1,2015,11,21,21-11-2015,1
1,1,2015,12,18,18-12-2015,1
1,1,2015,12,21,21-12-2015,1
1,1,2015,12,22,22-12-2015,1
1,1,2015,12,26,26-12-2015,1
1,1,2015,12,26,26-12-2015,1
1,1,2015,12,29,29-12-2015,1
1,1,2015,12,30,30-12-2015,1
1,2,2015,1,5,05-01-2015,1
1,2,2015,1,10,10-01-2015,1
1,2,2015,1,16,16-01-2015,1
1,2,2015,1,26,26-01-2015,1
1,2,2015,2,1,01-02-2015,1
1,2,2015,2,1,01-02-2015,1
1,2,2015,2,4,04-02-2015,1
1,2,2015,2,7,07-02-2015,1
1,2,2015,2,12,12-02-2015,1
1,2,2015,2,16,16-02-2015,1
1,2,2015,2,20,20-02-2015,1
1,2,2015,2,23,23-02-2015,1
1,2,2015,2,23,23-02-2015,1
1,2,2015,2,23,23-02-2015,1
1,2,2015,2,26,26-02-2015,1
1,2,2015,2,26,26-02-2015,1
1,2,2015,3,11,11-03-2015,1
1,2,2015,3,15,15-03-2015,1
1,2,2015,3,15,15-03-2015,1
1,2,2015,4,11,11-04-2015,1
1,2,2015,4,23,23-04-2015,1
1,2,2015,4,24,24-04-2015,1
1,2,2015,4,26,26-04-2015,1
1,2,2015,4,29,29-04-2015,1
1,2,2015,6,5,05-06-2015,1
1,2,2015,6,13,13-06-2015,1
1,2,2015,6,15,15-06-2015,1
1,2,2015,7,2,02-07-2015,1
1,2,2015,7,3,03-07-2015,1
1,2,2015,7,6,06-07-2015,1
1,2,2015,7,9,09-07-2015,1
1,2,2015,7,15,15-07-2015,1
1,2,2015,7,17,17-07-2015,1
1,2,2015,7,23,23-07-2015,1
1,2,2015,8,13,13-08-2015,1
1,2,2015,8,16,16-08-2015,1
1,2,2015,8,27,27-08-2015,1
1,2,2015,9,4,04-09-2015,1
1,2,2015,9,4,04-09-2015,1
1,2,2015,10,3,03-10-2015,1
1,2,2015,10,15,15-10-2015,1
1,2,2015,10,20,20-10-2015,1
1,2,2015,10,21,21-10-2015,1
1,2,2015,10,24,24-10-2015,1
1,2,2015,10,25,25-10-2015,1
1,2,2015,10,27,27-10-2015,1
1,2,2015,10,27,27-10-2015,1
1,2,2015,10,30,30-10-2015,1
1,2,2015,11,17,17-11-2015,1
1,2,2015,11,20,20-11-2015,1
1,2,2015,12,8,08-12-2015,1
1,2,2015,12,10,10-12-2015,1
1,2,2015,12,12,12-12-2015,1
1,2,2015,12,22,22-12-2015,1
1,3,2015,1,1,01-01-2015,1
1,3,2015,1,1,01-01-2015,1
1,3,2015,1,10,10-01-2015,1
1,3,2015,1,18,18-01-2015,1
1,3,2015,1,18,18-01-2015,1
1,3,2015,1,23,23-01-2015,1
1,3,2015,1,23,23-01-2015,1
1,3,2015,1,31,31-01-2015,1
1,3,2015,2,1,01-02-2015,1
1,3,2015,2,8,08-02-2015,1
1,3,2015,2,26,26-02-2015,1
1,3,2015,3,1,01-03-2015,1
1,3,2015,3,8,08-03-2015,1
1,3,2015,3,10,10-03-2015,1
1,3,2015,3,28,28-03-2015,1
1,3,2015,4,2,02-04-2015,1
1,3,2015,4,3,03-04-2015,1
1,3,2015,4,3,03-04-2015,1
1,3,2015,4,14,14-04-2015,1
1,3,2015,4,16,16-04-2015,1
1,3,2015,4,18,18-04-2015,1
1,3,2015,4,22,22-04-2015,1
1,3,2015,4,26,26-04-2015,1
1,3,2015,4,27,27-04-2015,1
1,3,2015,5,12,12-05-2015,1
1,3,2015,5,21,21-05-2015,1
1,3,2015,5,22,22-05-2015,1
1,3,2015,6,2,02-06-2015,1
1,3,2015,6,3,03-06-2015,1
1,3,2015,6,11,11-06-2015,1
1,3,2015,6,21,21-06-2015,1
1,3,2015,6,29,29-06-2015,1
1,3,2015,7,1,01-07-2015,1
